Sample_ID;True_No_Larvae;Incubation;Greenhouse
1;8;no;CTIFL
2;32;no;CTIFL
3;3;no;CTIFL
4;1;no;CTIFL
5;12;no;CTIFL
6;6;no;CTIFL
7;2;yes;Soula
8;0;yes;Soula
9;1;yes;Soula
10;0;yes;Soula
11;14;yes;Soula
12;0;yes;Soula
13;18;yes;Soula
14;7;yes;Soula
15;9;yes;Soula
16;1;yes;Soula
17;0;yes;Soula
18;0;yes;Soula
19;3;yes;Soula
20;2;yes;Soula
21;6;yes;Soula
22;1;no;Soula
23;0;no;Soula
24;0;no;Soula
25;0;no;Soula
26;4;no;Soula
27;3;no;Soula
28;5;no;Soula
29;0;no;Soula
30;0;no;Soula